#time(days),nu*L_nu(erg/s),err
1.503e+01,1.789e+42,3.278e+40
2.102e+01,3.408e+42,6.246e+40
2.488e+01,4.748e+42,8.702e+40
2.887e+01,5.018e+42,1.839e+41
3.245e+01,4.411e+42,2.425e+41
4.862e+01,2.634e+42,1.689e+41
5.230e+01,2.170e+42,7.955e+40
5.669e+01,1.873e+42,6.865e+40
6.019e+01,1.587e+42,8.724e+40
6.451e+01,1.572e+42,5.763e+40
6.827e+01,1.204e+42,4.412e+40
7.373e+01,1.098e+42,4.024e+40
8.179e+01,8.252e+41,2.268e+40
8.347e+01,6.317e+41,2.894e+40
8.712e+01,7.388e+41,7.447e+40
9.447e+01,5.255e+41,1.926e+40
9.856e+01,4.371e+41,2.403e+40
1.023e+02,4.619e+41,2.116e+40
1.064e+02,4.291e+41,3.932e+40
1.106e+02,3.986e+41,2.557e+40
1.141e+02,3.703e+41,3.054e+40
1.180e+02,3.807e+41,2.442e+40
1.220e+02,3.052e+41,1.398e+40
1.348e+02,2.358e+41,1.296e+40
1.388e+02,2.211e+41,1.621e+40
1.541e+02,1.998e+41,1.464e+40
1.585e+02,1.772e+41,1.137e+40
1.636e+02,1.558e+41,1.285e+40
1.679e+02,1.434e+41,9.197e+39
1.548e+02,1.789e+41,1.967e+40
1.518e+02,1.587e+41,2.763e+40
1.420e+02,2.446e+41,3.363e+40
1.361e+02,2.294e+41,2.522e+40
1.332e+02,2.758e+41,3.538e+40
1.283e+02,2.861e+41,2.884e+40
1.224e+02,3.080e+41,4.233e+40
1.214e+02,3.472e+41,5.726e+40
1.213e+02,3.602e+41,3.300e+40
1.154e+02,3.772e+41,6.912e+40
9.874e+01,5.762e+41,3.168e+40
9.489e+01,5.762e+41,4.751e+40
9.482e+01,5.762e+41,3.695e+40
9.186e+01,6.863e+41,5.031e+40
7.415e+01,1.118e+42,6.148e+40
6.828e+01,1.357e+42,6.216e+40
6.532e+01,1.515e+42,5.554e+40
5.843e+01,1.908e+42,6.992e+40
5.563e+01,2.111e+42,7.738e+40
5.257e+01,2.424e+42,8.884e+40
4.669e+01,3.052e+42,1.118e+41
4.083e+01,3.949e+42,1.086e+41
3.778e+01,4.291e+42,1.179e+41
3.484e+01,4.452e+42,1.224e+41
3.195e+01,4.881e+42,1.342e+41
2.904e+01,5.352e+42,1.471e+41
2.610e+01,5.402e+42,1.485e+41
1.428e+01,1.805e+42,4.962e+40
1.131e+01,1.226e+42,5.617e+40
8.364e+00,8.561e+41,5.491e+40
1.580e+02,1.756e+41,1.287e+40
1.652e+02,1.529e+41,3.644e+40
1.747e+02,1.395e+41,2.812e+40
3.845e+02,8.328e+40,1.831e+40
3.922e+02,8.176e+40,1.124e+40
3.990e+02,9.131e+40,1.088e+40
4.058e+02,6.089e+40,1.227e+40
4.135e+02,6.259e+40,1.721e+40
4.221e+02,9.216e+40,1.351e+40
4.262e+02,7.388e+40,1.015e+40
4.418e+02,8.483e+40,1.943e+40
4.469e+02,7.526e+40,7.585e+39
4.541e+02,6.494e+40,7.141e+39
4.605e+02,7.736e+40,8.507e+39
4.744e+02,7.187e+40,1.185e+40
4.811e+02,5.869e+40,9.679e+39
4.877e+02,8.405e+40,1.386e+40
5.068e+02,9.131e+40,1.422e+40
5.137e+02,7.526e+40,1.103e+40
5.216e+02,7.056e+40,1.681e+40
5.274e+02,9.474e+40,2.344e+40
7.152e+02,8.720e+40,1.598e+40
7.211e+02,7.121e+40,1.892e+40
7.735e+02,7.595e+40,1.183e+40
7.796e+02,7.253e+40,1.994e+40
1.065e+03,9.830e+40,1.621e+40
1.093e+03,6.494e+40,1.369e+40
1.100e+03,6.376e+40,1.344e+40
1.115e+03,1.011e+41,2.500e+40
1.123e+03,7.953e+40,1.895e+40
1.129e+03,9.131e+40,3.012e+40
1.157e+03,7.388e+40,2.166e+40
1.180e+03,5.923e+40,1.520e+40
1.425e+03,1.039e+41,2.380e+40
1.440e+03,6.089e+40,1.897e+40
1.448e+03,7.388e+40,1.151e+40
1.454e+03,1.129e+41,1.655e+40
1.462e+03,9.474e+40,2.517e+40
1.467e+03,9.474e+40,2.952e+40
1.477e+03,9.301e+40,1.534e+40
1.483e+03,1.078e+41,2.765e+40
1.496e+03,7.253e+40,2.127e+40
1.501e+03,7.320e+40,2.079e+40
1.558e+03,7.457e+40,4.783e+39
5.272e+01,2.150e+42,0.000e+00
1.362e+02,1.693e+41,6.203e+39
3.651e+02,7.953e+40,8.745e+39
4.772e+02,8.176e+40,7.492e+39
7.433e+02,8.720e+40,7.990e+39
7.777e+02,6.145e+40,1.014e+40
7.975e+02,6.033e+40,1.161e+40
1.089e+03,4.662e+40,8.116e+39
1.122e+03,6.033e+40,7.739e+39
1.128e+03,5.923e+40,7.598e+39
1.160e+03,7.457e+40,9.565e+39
1.203e+03,7.121e+40,7.177e+39
1.210e+03,5.923e+40,1.031e+40
1.447e+03,6.676e+40,1.101e+40
1.474e+03,6.863e+40,1.069e+40
1.493e+03,5.923e+40,1.520e+40
1.497e+03,7.808e+40,7.870e+39
1.507e+03,7.595e+40,8.351e+39
1.511e+03,7.121e+40,1.174e+40
1.523e+03,8.328e+40,1.068e+40
1.533e+03,4.792e+40,1.098e+40
