#MJD	lowerr	uperr	cts/s	lowerr	uperr
60381.1437821484	0.0079078587962963	-0.0079078587962963	0.005961419	0.00291904	-0.002213948
60381.2017818706	0.00753065972222222	-0.00753065972222222	0.2933126	0.01926666	-0.01926666
60381.4624079239	0.00663099537037037	-0.00663099537037037	0.0547041	0.00784881	-0.00784881
60381.7037882827	0.0374640046296296	-0.0374640046296296	0.003533653	0.002227637	-0.001584818
60381.9889147873	0.00651491898148148	-0.00651491898148148	0.002311835	0.002355023	-0.001441721
60382.3288173105	0.00803844907407407	-0.00803844907407407	0.002040326	0.002414574	-0.001774295
60382.5204349493	0.00695020833333333	-0.00695020833333333	0.002158563	0.002285901	-0.001401953
60382.7601782248	0.036640150462963	-0.036640150462963	0.006299322	0.003149661	-0.002388863
60383.244714197	0.0715623263888889	-0.0715623263888889	0.002811919	0.001760652	-0.001252589
60383.377318954	0.00769020833333333	-0.00769020833333333	0.001292961	0.002147728	-0.00104936
