#MJD,cps,e_cps
60371.44988,1.419e-01,1.269e-01
60371.45103,1.177e-01,1.176e-01
60371.45219,9.499e-02,1.125e-01
60371.51469,8.408e-02,1.223e-01
60371.51585,6.036e-03,1.112e-01
60371.51701,1.500e-01,1.136e-01
60371.51816,1.148e-01,1.089e-01
60371.57835,1.167e-01,1.341e-01
60371.57951,2.385e-01,1.247e-01
60371.58066,1.760e-01,1.172e-01
60371.58182,1.302e-01,1.122e-01
60371.58298,9.419e-02,1.078e-01
60371.64316,7.555e-02,1.261e-01
60371.64432,1.232e-01,1.211e-01
60371.64548,-5.223e-02,1.063e-01
60371.64664,6.958e-02,1.085e-01
60371.64779,1.320e-01,1.114e-01
60371.70798,9.190e-02,1.239e-01
60371.70914,6.291e-02,1.165e-01
60371.71029,1.332e-01,1.159e-01
60371.71145,1.599e-01,1.143e-01
60371.71261,1.712e-02,1.087e-01
60371.77279,1.258e-01,1.290e-01
60371.77395,8.192e-02,1.182e-01
60371.77511,6.138e-02,1.121e-01
60371.77626,1.399e-01,1.130e-01
60371.83761,1.493e-01,1.287e-01
60371.83876,1.399e-01,1.228e-01
60371.83992,6.813e-02,1.142e-01
60371.84108,1.592e-01,1.145e-01
60371.90358,-6.831e-03,1.171e-01
60371.90474,1.722e-01,1.188e-01
60371.90589,1.474e-01,1.147e-01
60371.96955,2.131e-01,1.265e-01
60371.97071,1.800e-01,1.194e-01
60371.97187,3.521e-02,1.123e-01
60372.09476,8.087e-02,1.190e-01
60372.09592,8.431e-02,1.222e-01
60372.09823,2.436e-01,1.257e-01
60372.09939,2.605e-01,1.203e-01
60372.16305,1.882e-01,1.199e-01
60372.16420,1.267e-01,1.137e-01
60372.16536,1.537e-01,1.169e-01
60372.16652,5.404e-02,1.154e-01
60372.16768,1.267e-01,1.237e-01
60372.22902,1.589e-01,1.147e-01
60372.23018,1.797e-01,1.157e-01
60372.23133,1.418e-01,1.171e-01
60372.23249,2.965e-01,1.290e-01
60372.28920,1.544e-01,1.166e-01
60372.29036,1.449e-01,1.158e-01
60372.29152,5.459e-02,1.100e-01
60372.29268,1.710e-01,1.144e-01
60372.35402,9.101e-02,1.142e-01
60372.35518,1.416e-01,1.123e-01
60372.35633,5.799e-02,1.085e-01
60372.35749,1.328e-01,1.111e-01
60372.41768,7.577e-02,1.217e-01
60372.41883,9.819e-02,1.161e-01
60372.41999,2.217e-01,1.173e-01
60372.42115,7.014e-02,1.082e-01
60372.42231,2.773e-01,1.182e-01
60372.48712,2.982e-01,1.190e-01
60372.48828,2.708e-01,1.161e-01
60372.48944,2.157e-01,1.150e-01
60372.49059,3.621e-01,1.211e-01
60372.49175,2.145e-01,1.155e-01
60372.54731,4.215e-01,1.294e-01
60372.54846,4.821e-01,1.282e-01
60372.54962,3.949e-01,1.218e-01
60372.55078,6.343e-01,1.316e-01
60372.61212,8.153e-01,1.490e-01
60372.61328,7.147e-01,1.399e-01
60372.61444,1.110e+00,1.582e-01
60372.61559,9.997e-01,1.486e-01
60372.67578,6.039e-01,1.501e-01
60372.67694,5.196e-01,1.358e-01
60372.67809,8.620e-01,1.446e-01
60372.67925,8.864e-01,1.441e-01
60372.68041,1.003e+00,1.525e-01
60372.74059,1.016e+00,1.590e-01
60372.74175,1.169e+00,1.610e-01
60372.74291,1.346e+00,1.669e-01
60372.74407,1.754e+00,1.806e-01
60372.74522,1.894e+00,1.934e-01
60372.80888,1.398e+00,1.724e-01
60372.81004,1.295e+00,1.718e-01
60372.81120,1.723e+00,1.769e-01
60372.81235,1.348e+00,1.664e-01
60372.81351,1.325e+00,1.622e-01
60372.81467,1.417e+00,1.657e-01
60372.87370,1.784e+00,1.968e-01
60372.87485,1.780e+00,1.923e-01
60372.87601,1.447e+00,1.840e-01
60372.87717,1.329e+00,1.684e-01
60372.87833,1.248e+00,1.610e-01
60372.87948,9.714e-01,1.504e-01
60372.93851,1.168e+00,1.612e-01
60372.93967,1.349e+00,1.803e-01
60372.94083,1.256e+00,1.736e-01
60372.94198,1.194e+00,1.599e-01
60372.94314,9.210e-01,1.480e-01
60372.94430,7.705e-01,1.461e-01
