#MJD,cps,e_cps
60384.81856,-5.000e-03,1.000e-02
60384.82087,0.000e+00,1.118e-02
60384.82319,1.000e-02,1.323e-02
60384.88569,-5.000e-03,1.000e-02
60384.88800,5.000e-03,1.225e-02
60384.89031,-5.000e-03,1.000e-02
60385.21902,-5.000e-03,1.000e-02
60385.22133,5.000e-03,1.225e-02
60385.22365,-2.000e-02,5.000e-03
60385.28615,0.000e+00,1.118e-02
60385.28846,-5.000e-03,1.000e-02
60385.29078,-5.000e-03,1.000e-02
60385.29309,5.000e-03,1.225e-02
60385.29541,5.000e-03,1.225e-02
60385.35559,2.000e-02,1.500e-02
60385.35791,0.000e+00,1.118e-02
60385.36022,-1.000e-02,8.660e-03
60385.36254,0.000e+00,1.118e-02
60385.42272,-2.000e-02,5.000e-03
60385.42504,-5.000e-03,1.000e-02
60385.42735,-5.000e-03,1.000e-02
60385.42967,1.000e-02,1.323e-02
60385.43198,-5.000e-03,1.000e-02
60385.48985,5.000e-03,1.225e-02
60385.49217,5.000e-03,1.225e-02
60385.49448,0.000e+00,1.118e-02
60385.49680,-5.000e-03,1.000e-02
60385.49911,-1.000e-02,8.660e-03
60385.55698,-5.000e-03,1.000e-02
60385.55930,-5.000e-03,1.000e-02
60385.56161,5.000e-03,1.225e-02
60385.56393,1.500e-02,1.414e-02
60385.56624,-5.000e-03,1.000e-02
60385.62411,1.500e-02,1.414e-02
60385.62643,0.000e+00,1.118e-02
60385.62874,5.000e-03,1.225e-02
60385.63106,0.000e+00,1.118e-02
60385.63337,0.000e+00,1.118e-02
